"NETCD","STATCD","PARAMCD","PTID","DAYDT","HOURAV","VFLAGCD","FREQ_IN","PARAMDSB"
2,6,4,4,"2018-10-11 00:59:00.000",4.02686500549316,9,"1h","NO2"
2,6,25,6,"2018-10-11 00:59:00.000",25.8852195739746,9,"1h","PM10"
2,6,7,26,"2018-10-11 00:59:00.000",92.751823425293,1,"1h","O3"
2,12,25,11,"2018-10-11 00:59:00.000",32.7142715454102,9,"1h","PM10"
2,20,4,4,"2018-10-11 00:59:00.000",4.48483085632324,1,"1h","NO2"
2,22,4,3,"2018-10-11 00:59:00.000",3.89816808700561,1,"1h","NO2"
2,23,7,1,"2018-10-11 00:59:00.000",96.0817565917969,9,"1h","O3"
2,23,25,2,"2018-10-11 00:59:00.000",29.3066596984863,9,"1h","PM10"
2,24,4,5,"2018-10-11 00:59:00.000",5.12931251525879,9,"1h","NO2"
2,20,25,5,"2018-10-11 00:59:00.000",25.4599895477295,9,"1h","PM10"
2,21,4,4,"2018-10-11 00:59:00.000",2.47406101226807,9,"1h","NO2"
2,22,25,9,"2018-10-11 00:59:00.000",28.4562397003174,9,"1h","PM10"
2,25,4,5,"2018-10-11 00:59:00.000",3.97530031204224,9,"1h","NO2"
1,12,7,5,"2018-10-11 00:59:00.000",111.162536621094,1,"1h","O3"
1,13,7,5,"2018-10-11 00:59:00.000",33.6136779785156,9,"1h","O3"
1,13,25,6,"2018-10-11 00:59:00.000",25.4092197418213,9,"1h","PM10"
1,15,4,4,"2018-10-11 00:59:00.000",19.6792221069336,1,"1h","NO2"
1,36,7,5,"2018-10-11 00:59:00.000",18.5631980895996,9,"1h","O3"
1,36,4,4,"2018-10-11 00:59:00.000",11.7773876190185,9,"1h","NO2"
1,31,7,3,"2018-10-11 00:59:00.000",82.5393600463867,1,"1h","O3"
1,31,4,7,"2018-10-11 00:59:00.000",4.48623466491699,9,"1h","NO2"
1,32,25,2,"2018-10-11 00:59:00.000",28.5900001525879,9,"1h","PM10"
1,33,25,2,"2018-10-11 00:59:00.000",33.195011138916,9,"1h","PM10"
1,4,7,6,"2018-10-11 00:59:00.000",61.2531852722168,1,"1h","O3"
1,5,7,6,"2018-10-11 00:59:00.000",84.030158996582,9,"1h","O3"
1,8,25,6,"2018-10-11 00:59:00.000",28.0699996948242,9,"1h","PM10"
1,18,4,4,"2018-10-11 00:59:00.000",4.74999332427979,9,"1h","NO2"
1,18,7,5,"2018-10-11 00:59:00.000",90.2317199707031,9,"1h","O3"
28,1,4,4,"2018-10-11 00:59:00.000",5.57831907272339,1,"1h","NO2"
28,2,4,4,"2018-10-11 00:59:00.000",5.1947226524353,9,"1h","NO2"
28,7,7,12,"2018-10-11 00:59:00.000",67.8988876342773,1,"1h","O3"
28,11,25,1,"2018-10-11 00:59:00.000",35.1992111206055,9,"1h","PM10"
28,12,4,4,"2018-10-11 00:59:00.000",0.918308675289154,1,"1h","NO2"
28,13,4,3,"2018-10-11 00:59:00.000",25.65207862854,1,"1h","NO2"
28,13,7,4,"2018-10-11 00:59:00.000",56.0569076538086,1,"1h","O3"
3,3,7,5,"2018-10-11 00:59:00.000",102.906509399414,9,"1h","O3"
3,5,4,3,"2018-10-11 00:59:00.000",15.8213376998901,2,"1h","NO2"
3,6,7,5,"2018-10-11 00:59:00.000",77.434211730957,9,"1h","O3"
3,8,7,5,"2018-10-11 00:59:00.000",79.9098510742188,2,"1h","O3"
3,9,4,4,"2018-10-11 00:59:00.000",6.53045892715454,10,"1h","NO2"
3,9,7,5,"2018-10-11 00:59:00.000",55.1563835144043,2,"1h","O3"
1,31,25,2,"2018-10-11 00:59:00.000",30.4593296051025,9,"1h","PM10"
1,32,7,3,"2018-10-11 00:59:00.000",67.8757476806641,9,"1h","O3"
1,32,4,7,"2018-10-11 00:59:00.000",9.26099872589111,9,"1h","NO2"
1,33,7,3,"2018-10-11 00:59:00.000",73.2610321044922,9,"1h","O3"
1,33,4,7,"2018-10-11 00:59:00.000",6.1183385848999,9,"1h","NO2"
1,4,4,4,"2018-10-11 00:59:00.000",7.64845085144043,1,"1h","NO2"
1,5,25,8,"2018-10-11 00:59:00.000",17.8266105651856,9,"1h","PM10"
