"LocalCode","LocalName","EoICode","Lat","Lon","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"001130800","Alessandria - Volta","IT1830A",44.920301,8.623197,91,"Background","Urban","automatic",3.4,31,25,"ARPA-Piemonte"
"001272806","Asti - D'Acquisto","IT1523A",44.908932,8.20546,149,"Background","Urban","automatic",4.15,8,11,"ARPA-Piemonte"
"003010800","Baceno - Alpe Devero","IT1961A",46.314783,8.255922,1637,"Background","Rural","automatic",5,10,52,"ARPA-Piemonte"
"005005801","Biella - Sturzo","IT1247A",45.558818,8.056395,406,"Background","Urban","automatic",3.7,10,9,"ARPA-Piemonte"
"006039801","Borgomanero - Molli","IT2121A ",45.68944,8.45844,301,"Traffic","Urban","automatic",4.05,14,10,"ARPA-Piemonte"
"003110801","Casale M.to - Castello","IT1582A",45.136124,8.445175,118,"Background","Urban","automatic",4.4,3,19,"ARPA-Piemonte"
"003024802","Cuneo - Alpini","IT1529A",44.38175,7.5382,550,"Background","Urban","automatic",3.7,20,15,"ARPA-Piemonte"
"002158800","Leini' (ACEA) - Grande Torino","IT2117A",45.176347,7.711582,245,"Background","Suburban","automatic",4.18,29,52,"ARPA-Piemonte"
"001272805","Omegna - Crusinallo","IT2102A",45.898849,8.415739,229,"Traffic","Urban","automatic",4.3,4,16,"ARPA-Piemonte"
"001272822","Torino - Lingotto","IT2168A",45.024944,7.649054,243,"Background","Urban","automatic",3.45,7,40,"ARPA-Piemonte"
"002012802","Torino - Rebaudengo","IT0470A",45.104068,7.695363,233,"Traffic","Urban","automatic",3.45,23,18,"ARPA-Piemonte"
"004078800","Torino - Rubino","IT1877A",45.041879,7.625928,257,"Background","Urban","automatic",3.45,56,72,"ARPA-Piemonte"
"006003805","Vercelli - Gastaldi","IT1533A",45.32842,8.41514,130,"Traffic","Urban","automatic",3.9,19,7,"ARPA-Piemonte"
"003106803","Novara - Verdi","IT1518A",45.43831,8.620608,154,"Background","Urbana","automatic",3.6,7,90,"ARPA-Piemonte"
"003010800","Baceno - Alpe Devero","IT1961A",46.314783,8.255922,1637,"Background","Rural","automatic",5,10,52,"ARPA-Piemonte"
"001028801","Borgaro T. - Caduti","IT1128A",45.154639,7.658041,257,"Background","Suburbana","Active sampling",3.1,23,7,"ARPA-Piemonte"
"001099800","Druento - La Mandria","IT1121A",45.175772,7.560196,335,"Background","Rurale","Active sampling",3.45,26,1398,"ARPA-Piemonte"
